"","type","strike","expiration","mark","bid","ask","vol","update","days_to_expiry","timestamp","spy_close","premium","adj","days_to_expiry_adj","iv","forward","name","delta","gamma","theta","vega"
"136928","P",609,2026-03-25,0.01,0.01,0.01,NA,1774446415415,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,1.0019154727459,656.572500246767,"P609.Mar25",-0.00197569487107674,0.000364226421338272,-0.215875864316484,0.0010773559210372
"136929","C",610,2026-03-25,46.5474,46.5474,46.5474,NA,1774447195429,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C610.Mar25",NA,NA,NA,NA
"136930","P",610,2026-03-25,0.01,0.01,0.01,NA,1774446416460,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.981991420984268,656.572500246767,"P610.Mar25",-0.00201298365696845,0.000377979091358837,-0.215204853415426,0.00109580213657633
"136931","C",611,2026-03-25,45.5474,45.5474,45.5474,NA,1774447199494,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C611.Mar25",NA,NA,NA,NA
"136932","P",611,2026-03-25,0.01,0.01,0.01,NA,1774446415416,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.962068112790585,656.572500246767,"P611.Mar25",-0.00205174644525519,0.00039254382717188,-0.214519632509961,0.00111493781458502
"136933","C",612,2026-03-25,44.5474,44.5474,44.5474,NA,1774447195429,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C612.Mar25",NA,NA,NA,NA
"136934","P",612,2026-03-25,0.01,0.01,0.01,1,1774446414366,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.942144804596901,656.572500246767,"P612.Mar25",-0.00209207799287259,0.00040798780203322,-0.213819852386584,0.00113480570102692
"136935","C",613,2026-03-25,43.5474,43.5474,43.5474,NA,1774447195428,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C613.Mar25",NA,NA,NA,NA
"136936","P",613,2026-03-25,0.01,0.01,0.01,1,1774446414365,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.922220455408096,656.572500246767,"P613.Mar25",-0.00213407609312499,0.000424384562781847,-0.21310459461704,0.00115544958592657
"136937","C",614,2026-03-25,42.5474,42.5474,42.5474,NA,1774447199494,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C614.Mar25",NA,NA,NA,NA
"136938","P",614,2026-03-25,0.01,0.01,0.01,NA,1774446415415,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.902294024229049,656.572500246767,"P614.Mar25",-0.0021778479373048,0.000441815782853656,-0.212372970033179,0.00117691738908247
"136939","C",615,2026-03-25,41.56,41.56,41.56,NA,1774447201661,0.249967852568737,2026-03-25 10:00:02,656.51,0.0500000000000114,0,0.249967852568737,NA,656.572500246767,"C615.Mar25",NA,NA,NA,NA
"136940","P",615,2026-03-25,0.01,0.01,0.01,1000,1774447019119,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.882364618778229,656.572500246767,"P615.Mar25",-0.00222351464258908,0.000460372938908513,-0.211624448816967,0.00119926330522751
"136941","C",616,2026-03-25,40.5474,40.5474,40.5474,3,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C616.Mar25",NA,NA,NA,NA
"136942","P",616,2026-03-25,0.01,0.01,0.01,NA,1774446415415,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.862431346774101,656.572500246767,"P616.Mar25",-0.00227120987485507,0.000480158222808609,-0.210858567802693,0.00122254703475787
"136943","C",617,2026-03-25,39.5474,39.5474,39.5474,NA,1774447199492,0.249967852568737,2026-03-25 10:00:02,656.51,0.0374000000000123,0,0.249967852568737,NA,656.572500246767,"C617.Mar25",NA,NA,NA,NA
"136944","P",617,2026-03-25,0.01,0.01,0.01,NA,1774446415416,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.842492869794369,656.572500246767,"P617.Mar25",-0.00232107077506882,0.000501284278396114,-0.210073947797612,0.00124682927504922
"136945","C",618,2026-03-25,38.57,38.57,38.57,NA,1774447201661,0.249967852568737,2026-03-25 10:00:02,656.51,0.0600000000000094,0,0.249967852568737,NA,656.572500246767,"C618.Mar25",NA,NA,NA,NA
"136946","P",618,2026-03-25,0.01,0.01,0.01,NA,1774446415416,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.822547998130322,656.572500246767,"P618.Mar25",-0.00237325267490585,0.000523878091776333,-0.209269578534588,0.00127217881508347
"136947","C",619,2026-03-25,37.5475,37.5475,37.5475,NA,1774447195428,0.249967852568737,2026-03-25 10:00:02,656.51,0.0375000000000085,0,0.249967852568737,NA,656.572500246767,"C619.Mar25",NA,NA,NA,NA
"136948","P",619,2026-03-25,0.01,0.01,0.01,NA,1774446415416,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.802595690786839,656.572500246767,"P619.Mar25",-0.0024279319625119,0.000548083309933435,-0.208444857983559,0.00129867378350109
"136949","C",620,2026-03-25,36.5477,36.5477,36.5477,16,1774447195429,0.249967852568737,2026-03-25 10:00:02,656.51,0.0377000000000081,0,0.249967852568737,NA,656.572500246767,"C620.Mar25",NA,NA,NA,NA
"136950","P",620,2026-03-25,0.01,0.01,0.01,NA,1774446416461,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.782634609341621,656.572500246767,"P620.Mar25",-0.00248529721188895,0.000574060777941842,-0.207598592060871,0.00132639720156945
"136951","C",621,2026-03-25,35.548,35.548,35.548,NA,1774447199493,0.249967852568737,2026-03-25 10:00:02,656.51,0.0380000000000109,0,0.249967852568737,NA,656.572500246767,"C621.Mar25",NA,NA,NA,NA
"136952","P",621,2026-03-25,0.01,0.01,0.01,101,1774446414365,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.762663415372372,656.572500246767,"P621.Mar25",-0.00254555897141862,0.000601992688524076,-0.206729665819969,0.00135544157699489
"136953","C",622,2026-03-25,34.57,34.57,34.57,NA,1774447201661,0.249967852568737,2026-03-25 10:00:02,656.51,0.0600000000000094,0,0.249967852568737,NA,656.572500246767,"C622.Mar25",NA,NA,NA,NA
"136954","P",622,2026-03-25,0.01,0.01,0.01,100,1774446414364,0.249967852568737,2026-03-25 10:00:02,656.51,0.01,0,0.249967852568737,0.742680621743202,656.572500246767,"P622.Mar25",-0.00260894870529038,0.000632085315781116,-0.20583670391745,0.00138590820538889
"136955","C",623,2026-03-25,33.57,33.57,33.57,NA,1774447201661,0.249967852568737,2026-03-25 10:00:02,656.51,0.0600000000000094,0,0.249967852568737,NA,656.572500246767,"C623.Mar25",NA,NA,NA,NA
